What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Life Savers,Fried Rice,Dogs,No
Reese's Pieces,Pasta:-),Cats,No
Kit Kat,Thai Green Curry,Cats,Yes
Sour patch,any type of pasta,Dogs,No
Kit Kat,Jack In the Box,Dogs,Yes
sour patch,a good burrito makes my day!,Dogs,No
Hershey's,winner winner chicken dinner,Cats,Yes
Kit-kat,Any kind of pasta,Dogs,Yes
dark chocolate,eggplant parmersan,Dogs,No
Twix,Lasagna,Dogs,Yes
Reese's Peanut Butter Cups,A good steak and a cooked vegetable like asparagus.,Dogs,Yes
Snickers,pizza,Cats,Yes
Mini m&ms but I just went to canada and smarties are so much better,Papa Johns pizza with everything on it,Dogs,No
Hi Chew,Depending on the mood; but beef bulgogi is never a bad idea,Dogs,No
Jolly Ranchers,Sushi,Either,Yes
Yupi (I think this is more of a gummy?),Thai food. There's a place in downtown Seattle called Noi Thai that has really good Thai food (a bit pricey though).,Cats,Yes
100 grand,Steak,Cats,Yes
Kit Kats,Quesadillas,Dogs,No
Hi-chew,Korean Tofu Soup,Either,Yes
Dark Chocolate,Butter Chicken,Cats,Yes
Dark Chocolate,DUMPLINGS!,Cats,Yes
Crush,Lasagna,Dogs,Yes
Milky Way,BBQ,Dogs,No
Chocolate (specifically Ferrero Rocher's),Sushi,Dogs,Yes
Reese's Peanut Butter Cups,anything goes,Either,Yes
Skittles,Chirashi Bowl,Either,Yes
/,crispy chicken,Cats,Yes
Snickers,Rice and chicken,Cats,Yes
Lolli pops,Indian Buffet,Dogs,Yes
Chocolate,Sushi,Cats,No
Hi-Chew,Hunan Cuisine,Either,No
chocolate,beef noodle,Dogs,Yes
Haribo,Chicken noodle soup,Either,No
Peanut m&ms,Salmon and broccoli cheddar risotto,Either,Yes
Sour Patch Watermelon,Sushi or Enchiladas,Dogs,No
Peanubutter M&Ms,Drunken Noodles,Dogs,Yes
Reese's easter eggs,Steak and potatoes,Dogs,No
Sour Patch,chicken katsu,Either,Yes
Starbursts,Steak,Cats,Yes
Twix bars,Pasta and garlic bread,Dogs,Yes
Hershey's,Fettucine Alfredo with Salmon,Dogs,Yes
Chocolate,Steak,Dogs,No
Laffytaffy,Pizza,Dogs,No
Twix,Poke!,Dogs,No
Twix,Sushi,Dogs,Yes
KitKat,Sushi,Dogs,Yes
Skittles,Pasta,Dogs,Yes
Yorks,Salmon,Either,Yes
twix,soup,Either,Yes
skittles,hot pot,Dogs,Yes
Sour candy,Fries,Dogs,Yes
Snickers,Korean BBQ,Dogs,Yes
jolly ranchers,hamburgers,Either,Yes
Twix,Pasta!,Cats,No
Those ones with the wrapper that looks like a strawberry,Crab legs,Dogs,Yes
Candy,Chicken and rice,Either,Yes
Skittles,Pizza,Either,No
Kit-Kat,Shrimp Tacos,Dogs,Yes
kit kat,pad see ew,Dogs,No
Hi-chew,steak,Either,Yes
Hershey's,New York Steak,Dogs,No
skittles,ramen,Cats,Yes
Starburst,Ezell's Spicy tenders,Dogs,Yes
Gummies! Any kind.,Dumplings/dim sum!,Either,Yes
mildly sweet dark chocolate,"seafood, steak",Either,Yes
York,BBQ Chicken,Cats,Yes
Twix,Roast chicken & vegetables,Cats,Yes
m&ms,spaghetti,Cats,No
vitmin C?,i don't know,Dogs,Yes
Lindor,Tacos,Cats,Yes
Twix,Chicken noodle soup with freshly baked bread,Either,Yes
Toblerone,Sushi,Dogs,Yes
Sour Patch,Hot Pockets,Dogs,Yes
Ferrero,Rice and Chicken Curry,Cats,No
Sour Patch,Steak,Either,Yes
Kit Kat,Pho,Either,Yes
Gummies,Noodle,Cats,Yes
KitKats,Ramen,Either,Yes
Skittles,"Rice with braised pork (thit kho, a vietnamese dish!)",Dogs,No
Gummy Worms,Chicken Katsu Curry,Cats,Yes
ROYCE Nama Chocolate,Meat spaghetti with garlic aioli from Fort Saint George in the ID,Either,Yes
Sour patch kids,Sushi,Dogs,No
Dark chocolate,Japanese tofu curry,Dogs,Yes
Dark Chocolate,Pasta,Cats,Yes
Gummy Candy,pizza,Cats,No
Hersheys chocolate cookies and cream,chicken shawarma,Cats,Yes
twix,taneda,Cats,No
none,Pasta,Cats,Yes
Twix,Pizza,Cats,Yes
Twix,Steak,Cats,Yes
Chocolate,Pasta,Dogs,No
Twix,Mushroom Alfredo Pasta,Dogs,Yes
Coffee Crisp,Sushi,Dogs,Yes
Mike and Ike's,Steak and Mashed Potatoes,Dogs,Yes
KitKat,Pad Khee Mao,Cats,No
Anything that's not too sweet,Red Braised Pork belly with Rice and side of boiled/steamed vegetable,Dogs,Yes
Kit kats,Pad thai,Either,Yes
M&m,Chicken curry!,Cats,Yes
KitKat,Ramen,Dogs,No
White Chocolate(if that counts),Chinese Food,Dogs,No
KitKat,Mom's cooking,Dogs,Yes
Reeses,I like shepards pie,Cats,No
KitKats,Sushi,Cats,No
Twix,Sushi,Dogs,Yes
Sour Patch Kids,Sushi,Dogs,Yes
chocolate,steak,Cats,No
Twix,Something Korean and homemade,Dogs,Yes
dark chocolate,hot pot,Either,No
sour patch,modoo,Dogs,Yes
M&Ms Crispy,Larb,Cats,No
coconut chocolate,Japanese Shabu pot,Cats,No
chocolate,steak,Cats,No
Lemon candies,Pasta,Cats,No
Skittles,Steak,Dogs,Yes
Goldbear,cola chicken wings,Cats,No
Skittles,Noodles with beef,Dogs,No
hersheys,pasta,Dogs,No
m&m's,omakase,Dogs,No
Kit Kat,Sushi,Cats,Yes
Twix,Chicken Parmesan,Dogs,Yes
Skittles,Beef Noodle Soup,Dogs,No
Skittles,Turkish food (pide),Dogs,Yes
chocolate,thai,Dogs,Yes
trolly gummy worms,noodles of any kind,Dogs,No
Reeses!,Poke,Dogs,Yes
Skittles,Chicken,Dogs,Yes
M&M's kinda guy. sometimes twizzlers ngl,bun bo hue,Dogs,Yes
Chocolate,Steak,Neither,No
Any type of milk chocolate,Pizza,Dogs,Yes
skittles,galbi (korean shortribs),Dogs,Yes
Soft type,Phở,Cats,Yes
Chocolate specifically Cadbury dark.,Depends on my mood but usually I like soup for dinner.,Dogs,No
Gummy bears,Paella,Cats,No
Twix,Noodle Soup,Cats,No
kitkat,paneer tikka masala,Dogs,No
Jolly Ranchers,Quesadillas,Cats,No
mints,Ramen,Cats,Yes
M&Ms,Pasta,Cats,No
dark chocolate,Enchiladas,Dogs,No
Chocolate(sweet or matcha),Chinese dishes,Dogs,No
Sour gummy worms,Quesadillas,Dogs,Yes
Starburst,Any Indian food,Dogs,No
