What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Twix,Chicken Parmesan,Dogs,Yes
Skittles,Beef Noodle Soup,Dogs,No
Skittles,Turkish food (pide),Dogs,Yes
chocolate,thai,Dogs,Yes
trolly gummy worms,noodles of any kind,Dogs,No
Reeses!,Poke,Dogs,Yes
Skittles,Chicken,Dogs,Yes
M&M's kinda guy. sometimes twizzlers ngl,bun bo hue,Dogs,Yes
Chocolate,Steak,Neither,No
Any type of milk chocolate,Pizza,Dogs,Yes
skittles,galbi (korean shortribs),Dogs,Yes
Soft type,Phở,Cats,Yes
Chocolate specifically Cadbury dark.,Depends on my mood but usually I like soup for dinner.,Dogs,No
Gummy bears,Paella,Cats,No
Twix,Noodle Soup,Cats,No
kitkat,paneer tikka masala,Dogs,No
Jolly Ranchers,Quesadillas,Cats,No
mints,Ramen,Cats,Yes
M&Ms,Pasta,Cats,No
dark chocolate,Enchiladas,Dogs,No
Chocolate(sweet or matcha),Chinese dishes,Dogs,No
Sour gummy worms,Quesadillas,Dogs,Yes
Starburst,Any Indian food,Dogs,No
Reallly like Milky Way,Probably anything with lots of vegies.,Dogs,Yes
Lollipop,Pizza,Cats,Yes
Twix,that swedish meatball meal at Ikea,Dogs,Yes
Gummy worms,Three pepper pork belly stir fry,Neither,No
sour patch,rice,Dogs,Yes
Sour Patch Kids,Beef Stroganoff,Neither,Yes
I don't like candies,Anything with good people,Neither,Yes
Candy corn,Sushi,Dogs,Yes
Snickers,Vegetable soup with rice,Cats,No
Watermelon Sour Patch Kids,Ravioli with Alfredo Sauce,Cats,Yes
Reese's,Burritos,Dogs,Yes
sour patch kids,vietnamese food like pho or bun bo hue,Dogs,No
Mr. Goodbar,Pizza,Neither,No
Reece's Fast Break,Dumplings,Dogs,No
strawberry drops,noodles,Cats,No
ew,fried rice,Dogs,No
n/a,indian food,Cats,Yes
jolly rancher,lasagna,Dogs,No
dark chocolate,anything from home,Dogs,No
sour patch kids,bibimbap,Cats,Yes
idk,idk,Cats,Yes
skittles,korean bbq or hot pot,Cats,No
KitKat,Tofu,Dogs,No
chupachups,chipotle,Dogs,Yes
Sour Patch,Chicken Parm,Dogs,Yes
I don't eat sugar. I am sorry haha. I have acne issues.,Steak and Fries,Dogs,No
I don't like candy,noodles,Neither,Yes
Rips,fried rice,Cats,No
Kit Kat,Mala hotpot,Dogs,No
Sour patch kids,Korean BBQ,Dogs,No
